id,tweets,likes,retweets,Tweet_Score,time,followers,friends,User_Score,location,key_word,inclakeontario,Sentiment,Subjectivity,tweet_effectiveness,Donation
"1,465,829,263,072,970,000","RT Pres_Chicago: Miracles do happen.

With bulldozers idling in the parking lot, the odds of saving the Lake Street Tied House were slim.…",0.0,36.0,72.0,2021-11-30 23:45:04,160.0,872.0,1904.0,Somewhere saving the bees,donation lake,0.0,0.0,0.0,21.953448697178512,0
"1,465,828,774,134,660,000","Takeaways from the oncor Parkdale Lake donation to DallasParkRec: 

▫️ Site of old power plant, decomm. in '05. Oncor says the land's been cleaned up. 

▫️New park will help complete TheLoopDallas trail project. 

▫️ Trail work could start next year.

https://t.co/mprHzJtsUA",8.0,4.0,16.0,2021-11-30 23:43:08,1093.0,1385.0,3863.0,"Dallas, TX",donation lake,0.0,0.06666666666666667,0.20000000000000004,4.4606456231626055,1
"1,465,825,887,325,140,000","RT Pres_Chicago: Miracles do happen.

With bulldozers idling in the parking lot, the odds of saving the Lake Street Tied House were slim.…",0.0,36.0,72.0,2021-11-30 23:31:39,1055.0,1591.0,4237.0,"Chicago, IL",donation lake,0.0,0.0,0.0,19.850796648195512,0
"1,465,821,882,834,460,000","RT Pres_Chicago: Miracles do happen.

With bulldozers idling in the parking lot, the odds of saving the Lake Street Tied House were slim.…",0.0,36.0,72.0,2021-11-30 23:15:45,1428.0,1811.0,5050.0,"Chicago, IL",donation lake,0.0,0.0,0.0,19.44216445549507,0
"1,465,820,565,260,750,000","RT craftlakecity: Today's the big day! 🎉 Diane Stewart of modernwest will be MATCHING the first $1,000 in donations received today for g…",0.0,1.0,2.0,2021-11-30 23:10:31,670.0,1355.0,3380.0,Utah,donation lake,0.0,0.125,0.21666666666666667,0.5667461631618111,1
"1,465,810,884,635,270,000",RT WBLAEF: Thank you Rotary Club of White Bear Lake for your support and donation! We cannot do what we do without support from organizati…,0.0,2.0,4.0,2021-11-30 22:32:03,1779.0,383.0,2545.0,"White Bear Lake, MN ",donation lake,0.0,0.0,0.0,1.1745057828415453,1
"1,465,810,377,346,880,000",RT WBLAEF: Thank you Rotary Club of White Bear Lake for your support and donation! We cannot do what we do without support from organizati…,0.0,2.0,4.0,2021-11-30 22:30:02,106.0,57.0,220.0,"White Bear Lake, Minnesota",donation lake,0.0,0.0,0.0,1.7076337386709273,1
"1,465,809,827,259,620,000","RT quillindie: Big parks news! Oncor has donated 110 acres in southeast Dallas, including Parkdale Lake, to create a new park. It’s the bi…",0.0,6.0,12.0,2021-11-30 22:27:50,299.0,309.0,917.0,"Dallas, TX",donation lake,0.0,0.06818181818181818,0.2772727272727273,4.050811576904833,1
"1,465,809,547,004,630,000",RT KenKalthoffNBC5: .Johnson4Dallas announces 110 acre park land donation from oncor including Parkdale Lake and segment of the 50 mile…,0.0,6.0,12.0,2021-11-30 22:26:44,6100.0,3694.0,13488.0,"Dallas, TX",donation lake,0.0,0.0,0.0,2.905605902633134,1
"1,465,808,403,020,880,000","RT Pres_Chicago: Miracles do happen.

With bulldozers idling in the parking lot, the odds of saving the Lake Street Tied House were slim.…",0.0,36.0,72.0,2021-11-30 22:22:11,55.0,191.0,437.0,"Yellow Springs, OH",donation lake,0.0,0.0,0.0,27.267754657124115,0
"1,465,806,931,835,160,000","RT quillindie: Big parks news! Oncor has donated 110 acres in southeast Dallas, including Parkdale Lake, to create a new park. It’s the bi…",0.0,6.0,12.0,2021-11-30 22:16:20,4092.0,3473.0,11038.0,"Dallas, TX",donation lake,0.0,0.06818181818181818,0.2772727272727273,2.968173470763735,1
"1,465,804,095,608,990,000",People can make a tax-deductible holiday donation to support the Lake Geneva Public Library’s renovation project. https://t.co/cuSJg5BER6,0.0,0.0,0.0,2021-11-30 22:05:04,367.0,10.0,387.0,,donation lake,0.0,0.0,0.06666666666666667,0.0,1
"1,465,803,842,495,420,000",People can make a tax-deductible holiday donation to support the Lake Geneva Public Library’s renovation project. https://t.co/bBLTD8jG6T,0.0,0.0,0.0,2021-11-30 22:04:04,70.0,121.0,312.0,"Lake Geneva, WI",donation lake,0.0,0.0,0.06666666666666667,0.0,1
"1,465,802,706,623,340,000","RT GLCS_Foundation: It's Giving Tuesday, and these wonderful Gull Lake Ryan Intermediate 4th-graders have an important message for you.  P…",0.0,1.0,2.0,2021-11-30 21:59:33,46.0,62.0,170.0,,donation lake,0.0,0.7,1.0,0.8966804757690342,0
"1,465,800,541,028,720,000","RT quillindie: Big parks news! Oncor has donated 110 acres in southeast Dallas, including Parkdale Lake, to create a new park. It’s the bi…",0.0,6.0,12.0,2021-11-30 21:50:56,487.0,988.0,2463.0,,donation lake,0.0,0.06818181818181818,0.2772727272727273,3.538294536752255,1
"1,465,800,272,295,470,000","RT quillindie: Big parks news! Oncor has donated 110 acres in southeast Dallas, including Parkdale Lake, to create a new park. It’s the bi…",0.0,6.0,12.0,2021-11-30 21:49:52,1678.0,580.0,2838.0,,donation lake,0.0,0.06818181818181818,0.2772727272727273,3.475226451794657,1
"1,465,799,594,906,990,000","RT quillindie: Big parks news! Oncor has donated 110 acres in southeast Dallas, including Parkdale Lake, to create a new park. It’s the bi…",0.0,6.0,12.0,2021-11-30 21:47:11,2496.0,5001.0,12498.0,"Dallas, TX",donation lake,0.0,0.06818181818181818,0.2772727272727273,2.9290864363520135,1
"1,465,798,350,268,240,000",RT KenKalthoffNBC5: .Johnson4Dallas announces 110 acre park land donation from oncor including Parkdale Lake and segment of the 50 mile…,0.0,6.0,12.0,2021-11-30 21:42:14,5012.0,2627.0,10266.0,"Dallas, Texas",donation lake,0.0,0.0,0.0,2.991473358669964,1
"1,465,794,694,336,630,000",RT LSRCA: It's GivingTuesday and we'd like to give a shoutout to the Lake Simcoe Conservation Foundation and the amazing work they do to…,0.0,2.0,4.0,2021-11-30 21:27:42,31222.0,1889.0,35000.0,"Newmarket, Ontario",donation lake,0.0,0.6000000000000001,0.9,0.8802685085170048,0
"1,465,791,515,553,320,000",RT KenKalthoffNBC5: .Johnson4Dallas announces 110 acre park land donation from oncor including Parkdale Lake and segment of the 50 mile…,0.0,6.0,12.0,2021-11-30 21:15:05,39986.0,2469.0,44924.0,"Dallas, Texas USA",donation lake,0.0,0.0,0.0,2.579270427584351,1
