id,tweets,likes,retweets,Tweet_Score,time,followers,friends,User_Score,location,key_word,inclakeontario
1.4661E+18,"RT @uspresstracker: LAPD kettled 19 journalists at the homeless encampment cleanup in Echo Park Lake on March 25, charging nine of them. ht…",0,3,6,12/1/2021 17:42,830,477,1784,"Washington, D.C.",lake cleanup,0
1.4661E+18,"RT @uspresstracker: LAPD kettled 19 journalists at the homeless encampment cleanup in Echo Park Lake on March 25, charging nine of them. ht…",0,3,6,12/1/2021 17:42,492,1206,2904,"Bethesda, MD",lake cleanup,0
1.4661E+18,"LAPD kettled 19 journalists at the homeless encampment cleanup in Echo Park Lake on March 25, charging nine of them. https://t.co/qS9sV623Bq",4,3,10,12/1/2021 17:34,33027,188,33403,"New York, NY",lake cleanup,0
1.46604E+18,"We look forward to a robust cleanup of the former Bethlehem Steel site in Lackawanna. This location along  Lake Erie and its remediation is long overdue and will continue WNY in its transition from a Rust to Blue economy. 

https://t.co/pbAdHCGvNw",1,0,1,12/1/2021 13:46,3738,937,5612,"Buffalo, NY",lake cleanup,0
1.46604E+18,"Sunday fire damages UAW union hall https://t.co/lusGrMlHZJ
Fire and Water Damage Cleanup Near Me, Chicago, Evanston, Skokie, Wilmette, Northbrook, Lake Forest, Highland Park
https://t.co/FwXvihmmSH
#fireandwaterdamagecleanupnearme #Chicago #Evanston #Skokie #Wilmette #Northbrook https://t.co/mj7wBMZm81",1,0,1,12/1/2021 13:46,1557,2581,6719,"Chicago, IL",lake cleanup,0
1.46603E+18,"Lake Lanier is a vital part of the Chattahoochee watershed - but it needs our help!

We're hosting a cleanup in Gainesville this Saturday starting bright and early at 9:30 a.m. It's free to volunteer, but registration is required 👉 https://t.co/vcFn7XGuZv https://t.co/CO2CQNbicd",2,1,4,12/1/2021 13:16,4496,1790,8076,Atlanta|Gainesville|LaGrange,lake cleanup,0
1.46583E+18,"Join Save Rural Seminole and Central Florida Recon to paddle the waters of Lake Mills for a cleanup. 

The clean up starts at 10:00 am on Saturday, December 4. https://t.co/uriH9kthOj",0,0,0,11/30/2021 23:34,63,258,579,"Winter Springs, FL",lake cleanup,0
1.46581E+18,"#15 says she visited the GF site at 38th and Chicago on a couple occasions. Also, protested on Lake Street. She went to do cleanup and stayed for the protest, she tells Engh.",1,0,1,11/30/2021 22:43,6110,1577,9264,St Paul,lake cleanup,0
1.46573E+18,"Lead, like other waste, doesn't ""go away."" When it's disposed of improperly, like dumping lead telephone cables in Lake Tahoe, the consequences become even more severe and the need for cleanup more urgent https://t.co/LMtmg6DHwk",0,0,0,11/30/2021 17:30,10056,3469,16994,United States,lake cleanup,0
1.4657E+18,The Wisconsin Department of Natural Resources confirmed Monday that Enbridge Energy’s cleanup of Fort Atkinson’s Blackhawk Island following a diluent chemical spill has been progressing satisfactorily. https://t.co/B6l5hYLVmN,1,0,1,11/30/2021 14:54,5525,251,6027,"Janesville, Wis.",lake cleanup,0
